frame_id,2's score,pos_x,pos_y,up_x,up_y
29,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
30,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
31,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527481e-11
32,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
33,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
34,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
35,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
36,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
37,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
38,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
39,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
40,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
41,3.125898333651075e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
42,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
43,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
44,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
45,3.125898333651075e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
46,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
47,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
48,3.1258983336510526e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
49,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
50,3.1258983336510526e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
51,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
52,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
53,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
54,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
55,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
56,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
57,3.125898333651075e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
58,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
59,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
60,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
61,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
62,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
63,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527481e-11
64,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
65,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
66,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
67,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
68,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
69,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
70,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
71,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
72,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
73,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
74,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
75,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
76,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
77,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
78,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
79,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
80,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
81,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
82,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
83,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
84,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
85,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
86,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
87,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
88,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
89,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
90,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
91,3.1258983336510526e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
92,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
93,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
94,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
95,3.1258983336510526e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
96,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
97,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
98,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
99,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
100,3.125898333651075e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
101,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
102,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
103,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
104,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
105,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
106,3.125898333651075e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
107,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
108,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
109,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
110,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
111,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
112,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
113,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
114,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
115,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
116,3.1258983336510526e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
117,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
118,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
119,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527538e-11
120,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
121,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
122,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
123,3.1258983336510526e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
124,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
125,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
126,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
127,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527481e-11
128,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527538e-11
129,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527481e-11
130,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
131,3.125898333651075e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
132,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
133,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
134,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
135,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
136,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
137,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
138,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
139,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
140,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
141,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
142,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
143,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
144,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
145,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
146,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
147,3.125898333651075e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
148,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
149,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
150,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
151,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527538e-11
152,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
153,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
154,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
155,3.125898333651076e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
156,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
157,3.125898333651075e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
158,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
159,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
160,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527481e-11
161,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
162,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
163,3.125898333651076e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
164,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
165,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
166,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
167,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
168,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
169,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527538e-11
170,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
171,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
172,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
173,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
174,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
175,3.125898333651075e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
176,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
177,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527538e-11
178,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
179,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
180,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
181,3.1258983336510526e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
182,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
183,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
184,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527538e-11
185,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527481e-11
186,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
187,3.125898333651075e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
188,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
189,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
190,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
191,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
192,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527481e-11
193,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
194,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
195,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
196,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
197,3.1258983336510526e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
198,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
199,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
200,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
201,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
202,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
203,3.125898333651075e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
204,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
205,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527538e-11
206,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
207,3.125898333651075e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
208,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
209,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527481e-11
210,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
211,3.125898333651075e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
212,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
213,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
214,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
215,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
216,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
217,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
218,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
219,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
220,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
221,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
222,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
223,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
224,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
225,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
226,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
227,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
228,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
229,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
230,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
231,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
232,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
233,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
234,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
235,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
236,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
237,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
238,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527481e-11
239,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
240,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
241,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527481e-11
242,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
243,3.1258983336510526e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
244,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
245,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
246,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
247,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
248,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
249,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765425e-11,-7.909748200527481e-11
250,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527538e-11
251,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
252,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
253,3.125898333651075e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
254,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
255,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
256,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
257,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
258,3.1258983336510526e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
259,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
260,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
261,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
262,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765426e-11,-7.909748200527481e-11
263,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
264,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765426e-11,-7.909748200527538e-11
265,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
266,3.125898333651076e-11,11.999999999999991,14.999999999999973,-6.313807517765425e-11,-7.909748200527538e-11
267,3.1258983336510526e-11,11.999999999999995,14.999999999999973,-6.313807517765383e-11,-7.909748200527481e-11
